skill,origin_week,train_size,method,variant,forecast_week,horizon_step,actual,predicted,abs_error,sq_error,pct_error
java,2024-W44,44,XGBoost,xgboost,2024-W48,4,269,273.75,4.75,22.5625,1.7657992565055762
java,2024-W44,44,naive,naive,2024-W45,1,270,276.0,6.0,36.0,2.2222222222222223
java,2024-W44,44,naive,naive,2024-W46,2,261,276.0,15.0,225.0,5.747126436781609
java,2024-W44,44,naive,naive,2024-W47,3,267,276.0,9.0,81.0,3.3707865168539324
java,2024-W44,44,naive,naive,2024-W48,4,269,276.0,7.0,49.0,2.6022304832713754
java,2024-W48,48,ARIMA,arima_es,2024-W49,1,260,269.78,9.779999999999973,95.64839999999947,3.761538461538451
java,2024-W48,48,ARIMA,arima_es,2024-W50,2,279,269.9,9.100000000000023,82.81000000000041,3.261648745519721
java,2024-W48,48,ARIMA,arima_es,2024-W51,3,268,269.92,1.920000000000016,3.686400000000061,0.7164179104477671
java,2024-W48,48,ARIMA,arima_es,2024-W52,4,267,269.93,2.930000000000007,8.58490000000004,1.0973782771535605
java,2024-W48,48,ES,holt_winters_full,2024-W49,1,260,267.23,7.230000000000018,52.27290000000026,2.7807692307692378
java,2024-W48,48,ES,holt_winters_full,2024-W50,2,279,267.11,11.889999999999986,141.37209999999968,4.261648745519708
java,2024-W48,48,ES,holt_winters_full,2024-W51,3,268,266.99,1.009999999999991,1.0200999999999816,0.37686567164178764
java,2024-W48,48,ES,holt_winters_full,2024-W52,4,267,266.87,0.12999999999999545,0.01689999999999882,0.04868913857677732
java,2024-W48,48,SARIMAX,sarima,2024-W49,1,260,268.85,8.850000000000023,78.3225000000004,3.403846153846163
java,2024-W48,48,SARIMAX,sarima,2024-W50,2,279,268.82,10.180000000000007,103.63240000000013,3.648745519713264
java,2024-W48,48,SARIMAX,sarima,2024-W51,3,268,268.81,0.8100000000000023,0.6561000000000037,0.3022388059701501
java,2024-W48,48,SARIMAX,sarima,2024-W52,4,267,268.81,1.8100000000000023,3.2761000000000084,0.6779026217228473
java,2024-W48,48,XGBoost,xgboost,2024-W49,1,260,281.22,21.220000000000027,450.28840000000116,8.161538461538472
java,2024-W48,48,XGBoost,xgboost,2024-W50,2,279,273.02,5.980000000000018,35.76040000000022,2.143369175627247
java,2024-W48,48,XGBoost,xgboost,2024-W51,3,268,272.79,4.7900000000000205,22.944100000000198,1.7873134328358284
java,2024-W48,48,XGBoost,xgboost,2024-W52,4,267,269.62,2.6200000000000045,6.864400000000024,0.9812734082397021
